user_id,text
1266517377065390080,Mario party superstars !!! #NintendoDirect https://t.co/SwBeN71ix6
1307531552092495874,"Metroid Dread | Announcement Trailer! #E32021 #MetroidDread #NintendoDirect #Gaming 
https://t.co/FkqXu5K0XD"
1307531552092495874,"Mario Party Superstars Announcement Trailer! #E32021 #NintendoDirect #MarioParty #MarioPartySuperstars 
https://t.co/gKB2O6Yott"
319659041,"Did I just pre-order the just announced via #NintendoDirect Nintendo Game &amp; Watch: The Legend of Zelda? Of course I did! 
https://t.co/9uuCx6qqMP"
196492274,"👨‍🚀🎮

#NintendoDirect #NintendoE3 https://t.co/ZDZ1gtHKWc"
42320413,"Predictions for #MetroidDread
1. #Samus will be hunted by the Federation. 
2. The #Chozo will reemerge and aid Samus on her escape. 
3. Samus will choose to sacrifice herself to save said chozo ending her saga.

#Metroid #Nintendo #NintendoDirect #E32021 https://t.co/UgjTEH15W1"
2836394614,"From one Game Reaction, to the WHOLE THING! It's time for my reactions from todays #E32021 #NintendoDirect #NintendoE3 https://t.co/3MeDnnv2hX"
976555530,#NintendoDirect https://t.co/vFC8mEDf3R
288963951,"This theme is getting remastered, happy day~ #NintendoDirect
#E32021 https://t.co/t2oz0jem99"
99977356,"Another surprising no show was both Pokemon DP remakes and Legends Arceas. I thought before we would get a new trailer at least. Also, I was wondering if they would announce a new Animal Crossing update. #NintendoDirect"
99977356,"I didn't notice until after I finished it, but I'm surprised we did not get a new trailer for Splatoon 3. I'm not disappointed per se since I really liked the Direct and have no doubt we'll see the game again soon enough, but I am surprised. #NintendoDirect"
99977356,"Games like the new Crusin game and Warioware were a nice surprise, as was Mario Party Superstars and DBZ Kakorot. There's more but I got no time, that was an awesome show!👍 #NintendoDirect"
2319264110,"How I'm feeling about today's #NintendoDirect. No new #AnimalCrossing or #Pokemon news. More remasters for #LifeIsStrange &amp; the #DanganRonpa series (except #TriggerHappyHavoc). #WarioWare's back. A whole BUNCH of games,announced from the last 3 days, announced AGAIN. 

6.5/10 https://t.co/oJvF9Gd7Ef"
2319264110,"WARIO!!

#NintendoE3 #NintendoDirect #E32021"
2319264110,"While the scenery looked nice, I was expecting a bit more from that #BreathoftheWild2 preview. 

#NintendoE3 #NintendoDirect #E32021"
2319264110,"#DBZ...😴😴

#NintendoE3 #NintendoDirect #E32021"
15024435,"Those last minutes of the #NintendoDirect were a real rollercoaster 😆

And now Zelda... Hyrule warriors 🙂
And now Zelda... Skyward Sword remake 😐
And now Zelda... Game and Watch mini 😶
And now........... Breath of the Wild 2 😅"
720428466844344320,"I’ll be honest, the last direct was more hype for me (as a Xenoblade and Splatoon fan) but this direct was still really good, if not for me. If that makes sense. #Nintendo #E3 #E32021  #NintendoDirect"
720428466844344320,My visceral reaction to seeing Kirby “die” 💀😭 lmao (sorry I don’t play Tekken so I’ve never heard of the new Smash character) #Kirby #NintendoDirect #Nintendo #Reaction #Smashbros https://t.co/nrVjWVTkhn
